337,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.1931303089293,19.4006977013204],[-99.1931302614396,19.4006982973058],[-99.1931268415964,19.4007375872347],[-99.1931199734221,19.400816591505],[-99.1931169050514,19.4008517998324],[-99.1931101033582,19.4009300004234],[-99.1931068450108,19.4009675114219],[-99.1931065219796,19.4009709428602],[-99.1930512264209,19.4009663907355],[-99.1930191055073,19.4009637405696],[-99.1929290241988,19.4009563309315],[-99.1928809237322,19.4009523646666],[-99.1928871149873,19.4008650980747],[-99.1928871529796,19.4008646194805],[-99.1928914109108,19.4008285621679],[-99.1928946518886,19.40080117378],[-99.1928980449177,19.4007723947533],[-99.1929091649566,19.4006783007863],[-99.1929467868379,19.4006816003369],[-99.1929615862377,19.4006828985189],[-99.192983771062,19.4006848457919],[-99.1929979708723,19.4006860898777],[-99.1930396566448,19.400689750021],[-99.193047622624,19.4006904441764],[-99.193076574251,19.4006929864369],[-99.1931303089293,19.4006977013204]]]]}",Paloma 11,01140,Bella Vista,721.54,918.01,Habitacional y comercial,05,2001,No,1968.31,1420214.40,A010712,JOSE MARIA PINO SUAREZ,ALVARO OBREGON,.00
63296,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.1939589010039,19.3608719326852],[-99.1938930983977,19.3608848373983],[-99.1938629658245,19.3608907475315],[-99.19383438412,19.3608963504077],[-99.1938281948519,19.3608684937189],[-99.1938247002936,19.3608527458849],[-99.1938224531083,19.3608425964774],[-99.1938146831955,19.3608075882475],[-99.1938121598791,19.3607962198282],[-99.1938108172798,19.3607901428247],[-99.1938062467449,19.3607695460298],[-99.1938020475708,19.3607506468231],[-99.1937970104627,19.3607279461026],[-99.1937845748082,19.3606718895887],[-99.1937833845618,19.3606664988437],[-99.1938539444495,19.3606532232293],[-99.1939109936703,19.3606424870439],[-99.1939292195781,19.3607297594628],[-99.1939295909497,19.3607315202611],[-99.1939330380732,19.3607480627422],[-99.1939407893313,19.3607851930247],[-99.1939450553798,19.3608056182915],[-99.1939478835427,19.3608191628982],[-99.1939506164824,19.3608322560179],[-99.1939570155607,19.3608629029476],[-99.1939574345447,19.3608648894892],[-99.1939589010039,19.3608719326852]]]]}",Carpatos 42,01010,Los Alpes,350.91,346.26,Habitacional,05,1978,No,4048.69,1420725.81,A010113,LOS ALPES,ALVARO OBREGON,.00
63691,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.1928418664568,19.3596196959307],[-99.1928230488472,19.3596362145419],[-99.1927880297258,19.3596663798365],[-99.1927697866875,19.3596463087138],[-99.1927367360621,19.3596099495503],[-99.1927191116062,19.3595905646155],[-99.1926876502477,19.3595559480097],[-99.1926712343892,19.3595378812806],[-99.1926456256579,19.3595097022372],[-99.1926433226817,19.3595071741596],[-99.1925236611527,19.35960453481],[-99.192486843656,19.3596344926116],[-99.1924678355471,19.3596499547005],[-99.1924468961813,19.3596669973145],[-99.1924247485862,19.3596850153391],[-99.1924031718013,19.3597025727492],[-99.1923713393534,19.3596675859108],[-99.1923352816317,19.3596279762911],[-99.1922925814675,19.3595810532811],[-99.1922841023426,19.3595717354915],[-99.1922289261999,19.3595111156776],[-99.1922450992496,19.3594978212165],[-99.192283743316,19.3594660662322],[-99.1922936659527,19.3594579107276],[-99.1923111423494,19.3594435505346],[-99.1923300077205,19.3594280433316],[-99.1923508043393,19.3594109556007],[-99.1923718863602,19.3593936330465],[-99.192412166708,19.3593605413605],[-99.1924646624202,19.3593173975225],[-99.1924899093146,19.3593442131101],[-99.1925039372803,19.3593320105815],[-99.1925305893369,19.35930882312],[-99.1926770882188,19.3591813679577],[-99.1926819208881,19.3591865938586],[-99.1927197390323,19.3592274944531],[-99.1927221174085,19.3592255165384],[-99.1928008280022,19.3593134667059],[-99.1928208125708,19.3593358041117],[-99.192806332988,19.3593476896978],[-99.1926835608837,19.3594484732794],[-99.1927041924531,19.3594707835151],[-99.1927247954811,19.3594930756925],[-99.1927504897946,19.3595208664218],[-99.1927652307216,19.3595368113286],[-99.1927923810589,19.3595661640368],[-99.1928418664568,19.3596196959307]]]]}","Anll. PERIFERICO BLVRD ADOLFO LOPEZ MATEOS, 2008 Dpto. 3304",01010,LOS ALPES,17.13,291.28,Habitacional,99,2019,Sí,6541.24,112051.44,A010425,LOS ALPES,ALVARO OBREGON,.00
63763,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.1934077107681,19.3561168407502],[-99.1933842519328,19.3562005976709],[-99.1933272545698,19.3564041247137],[-99.1933179071392,19.3564374920216],[-99.1932986702507,19.3565061772],[-99.193287221298,19.3565470487633],[-99.1932466773674,19.356533491586],[-99.1931490712793,19.3565008261407],[-99.1931257116687,19.3564930095334],[-99.1931322740445,19.3564762669151],[-99.1931476052772,19.3564371917719],[-99.1931504489737,19.3564299492789],[-99.1931759756443,19.3563648661803],[-99.1931761848794,19.3563643333785],[-99.1931385716787,19.3563518954734],[-99.1930845639671,19.3563340419236],[-99.1931063058282,19.3562812853664],[-99.193133563979,19.3562151545386],[-99.1931432555503,19.3561916479763],[-99.1931575218392,19.3561570247879],[-99.1931693913897,19.3561282353429],[-99.1931842663628,19.3560921401697],[-99.1932097839655,19.3560302266039],[-99.1932499573526,19.3560478112354],[-99.1933114544309,19.3560747207565],[-99.1933599536884,19.3560959432458],[-99.1934056745022,19.3561159470766],[-99.1934077107681,19.3561168407502]]]]}",Cda. Calyecac 15,01000,Campestre Tlacopac,1120.0,389.0,Habitacional,02,2000,No,6541.24,7326188.80,A010425,CAMPESTRE,ALVARO OBREGON,.00
90696,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.199924221025,19.3465037528508],[-99.1999120185419,19.3465705141208],[-99.1999078655063,19.3465931983245],[-99.1999076184671,19.3465948057156],[-99.1999006254785,19.3466409143457],[-99.1998919549029,19.3466716451332],[-99.1998820103644,19.3467069272896],[-99.1998480055239,19.3466986258545],[-99.19984624534,19.3466981927334],[-99.1998140958327,19.3466903514859],[-99.199831075725,19.3466301090383],[-99.1998393279883,19.3466008411953],[-99.1998455742255,19.346578680354],[-99.1998498524634,19.3465634729973],[-99.1998568497725,19.3465386752488],[-99.1998691140601,19.3464951482491],[-99.199924221025,19.3465037528508]]]]}",Galeana 101,01060,Alta Vista,154.76,291.99,Habitacional,02,1966,No,7238.16,1120177.64,A010125,ALTAVISTA,ALVARO OBREGON,717.66
93557,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.198884355583,19.3414545057322],[-99.1987934757604,19.3414792731179],[-99.1987833062281,19.3414339621747],[-99.1987562065518,19.3413132443562],[-99.1987505885609,19.3412882050468],[-99.1987495697014,19.3412836450564],[-99.198731668326,19.3412038949009],[-99.1987185755785,19.3411455812105],[-99.1987905105974,19.3411063510795],[-99.19879610873,19.3411271462732],[-99.1988201578412,19.3412163497893],[-99.1988326203535,19.3412625633306],[-99.1988390467905,19.3412864195596],[-99.1988397893988,19.3412891645604],[-99.1988712170654,19.3414057368138],[-99.198884355583,19.3414545057322]]]]}",Frontera 94,01090,Progreso,354.48,1116.01,Centro de Barrio,05,1974,No,4008.37,1420887.00,A011294,PUEBLO TIZAPAN,ALVARO OBREGON,.00
96428,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.2041001097096,19.333960893991],[-99.2040804689872,19.3340212097043],[-99.2040696504267,19.3340544515257],[-99.2040505990914,19.3341129430449],[-99.2040064406324,19.3342485292121],[-99.2039874748144,19.3343067678647],[-99.2039812289239,19.3343259399316],[-99.2039768178277,19.334339503964],[-99.2039693645846,19.3343623785964],[-99.2039273709644,19.3343543323892],[-99.2039040789942,19.3343814363193],[-99.2038897426579,19.3343824867344],[-99.203704930418,19.3343959882003],[-99.2037139702432,19.3343634511071],[-99.2037214321363,19.3343365942331],[-99.2037286088578,19.3343107578119],[-99.2037338939651,19.3342917304299],[-99.2037425345378,19.3342606021032],[-99.2037456333587,19.3342494493659],[-99.2037597681598,19.3341985802393],[-99.203781156607,19.3341256040812],[-99.2037878298012,19.3341028470053],[-99.2037992084423,19.3340640154882],[-99.2038059101448,19.3340411410152],[-99.2038061858221,19.3340402198942],[-99.2038143419335,19.334012378599],[-99.2038155491906,19.3340082606517],[-99.203839428153,19.333926813794],[-99.2038458731839,19.3339048152861],[-99.2039094529171,19.3339153674537],[-99.2041001097096,19.333960893991]]]]}","Cl. CAMELIA, 12 Dpto. 103",01090,PUEBLO TIZAPAN,42.76,147.68,Habitacional,05,2015,Sí,4008.37,171397.90,A011294,PUEBLO TIZAPAN,ALVARO OBREGON,1120.40
91218,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.192892365477,19.3474393105936],[-99.192884759656,19.3475924881417],[-99.1927556081632,19.347546679263],[-99.1925149835385,19.3474613255661],[-99.1925085621431,19.3474590477811],[-99.1924602681063,19.3476154153805],[-99.1924133376573,19.3475988041541],[-99.1922844241672,19.3475531484184],[-99.192258668118,19.3475440226745],[-99.1922626238066,19.3475301068377],[-99.1922678251576,19.3475118202897],[-99.1922729694581,19.3474937595003],[-99.1922762880518,19.3474820922309],[-99.192277058309,19.3474796359535],[-99.1922782374743,19.3474759154141],[-99.1922922923219,19.3474313231335],[-99.1922937472551,19.3474267085818],[-99.1923163605273,19.3473550249951],[-99.1923200786864,19.347343231248],[-99.1923300825298,19.3473115073318],[-99.1923431293623,19.3472701389105],[-99.192347506044,19.3472714837685],[-99.1923564306706,19.3472742366706],[-99.1923961157646,19.3472864577358],[-99.1924258486675,19.3472956190183],[-99.1925069124691,19.3473205846115],[-99.1925564927011,19.3473358563893],[-99.1927207231221,19.3473864372848],[-99.1927565263382,19.347397466862],[-99.192826981524,19.3474191649592],[-99.192892365477,19.3474393105936]]]]}",Santisimo 17,01060,San Angel Inn,1420.0,680.0,Habitacional,02,1968,No,7644.17,10854721.40,A011246,SAN ANGEL,ALVARO OBREGON,.00
91531,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.1818382715408,19.3501037034564],[-99.1818295439339,19.3501736056498],[-99.1818225941648,19.3502292402462],[-99.1818043688241,19.350375130933],[-99.1817827485757,19.3505396327897],[-99.1817713869965,19.3506261053008],[-99.1817619459369,19.3506978948224],[-99.1816784653868,19.3506719223234],[-99.1815555587105,19.3506564820272],[-99.1813872780261,19.3506353564009],[-99.181386631049,19.3506352751829],[-99.1813555380994,19.3506314941097],[-99.1813154921337,19.3506266301476],[-99.1813027733784,19.3506469667976],[-99.1812182570124,19.3506338529337],[-99.1812140326285,19.350633275349],[-99.1811954415354,19.3506307484241],[-99.1811520369483,19.3506248462405],[-99.1810422220255,19.3506099192683],[-99.1810377788124,19.3506093146069],[-99.1810295393641,19.3506081955328],[-99.1809397991847,19.3505890318312],[-99.1808663291327,19.3505782286259],[-99.1808599735261,19.350577289998],[-99.1806700379797,19.350549356752],[-99.1806102210934,19.3505405660902],[-99.1805200914139,19.3505273078513],[-99.1805172142196,19.3504812278258],[-99.1803027613956,19.3504626963202],[-99.1797796736746,19.3504174942673],[-99.1797194469009,19.3503977589458],[-99.1798014319616,19.3501696906048],[-99.1798510955884,19.3500427338172],[-99.1798759224172,19.3499767857047],[-99.179952248188,19.3498921145863],[-99.179984250701,19.34985117009],[-99.1801044340842,19.3498485877067],[-99.1801038320352,19.3498161789702],[-99.1804644676718,19.3498078714774],[-99.1804754375402,19.3498076178054],[-99.1805514602853,19.3494070398477],[-99.1806711574888,19.3493971698922],[-99.1807534641743,19.3493903910235],[-99.1807558998009,19.349390318595],[-99.1807568936786,19.3494415910358],[-99.1807610222346,19.3496561352269],[-99.1807622072923,19.3497178012171],[-99.1807650074273,19.3498629858378],[-99.1807653610141,19.3498811542325],[-99.1807679222818,19.3500145004988],[-99.1808679936621,19.3500230712553],[-99.1808899907192,19.3500249568158],[-99.1811032917928,19.3500432258514],[-99.1811270204577,19.3500452557265],[-99.1812570809537,19.3500563884153],[-99.1813531943741,19.3500639388288],[-99.1813948574801,19.3500672133666],[-99.1815544407967,19.350079752139],[-99.1816791067236,19.3500902709252],[-99.1818382715408,19.3501037034564]]]]}",Arenal 36,01050,Chimalistac,15225.0,1120.5,Equipamiento,05,1973,Sí,8830.61,134446037.00,C-01-I,EX-HACIENDA DE GUADALUPE CHIMALISTAC,ALVARO OBREGON,.00
91599,"{""type"":""MultiPolygon"",""coordinates"":[[[[-99.1844390809026,19.3506205097997],[-99.1844191915635,19.350754535445],[-99.1843536219416,19.3507543664135],[-99.1841358821625,19.3507538049344],[-99.183821812756,19.3507529945946],[-99.1837590433591,19.3507528325765],[-99.1837637725724,19.3506634760949],[-99.183764932895,19.3506594666527],[-99.1838123728492,19.3504948628045],[-99.1838627899444,19.3505049716868],[-99.1838868424876,19.3505097914512],[-99.1839133212188,19.3505150986045],[-99.1840022147949,19.3505329244777],[-99.1841305268016,19.35055864781],[-99.184286678173,19.3505899579502],[-99.184382184384,19.3506091013828],[-99.1844124974786,19.350615184673],[-99.1844390809026,19.3506205097997]]]]}",Tecoyotitla 349,01050,Hacienda Guadalupe Chimalistac,1537.65,686.53,Habitacional,02,1966,No,7287.76,11206024.16,A010456,EX-HACIENDA DE GUADALUPE CHIMALISTAC,ALVARO OBREGON,.00
